company,model,application,payload_kg,reach_mm,axes,repeatability,price_inr,notes,image_file
OTC,FD-V100 / V130,Heavy welding,100–130,2100–2236,6,±0.25 mm,₹40 – 60 lakh,,OTC_FD-V100___V130.jpeg
OTC,FD-V6L,,6,2006,6,±0.08 mm,₹45 – 75 Lakh,Mid-reach robot suitable for medium parts paint / coating lines.,OTC_FD-V6L.jpeg
OTC,FD-V6S,,6,2006,7,±0.08 mm,₹12–20 Lakh,"7-axis version of V6; extra axis increases flexibility for complex paths, can be used for material handling & palletizing",OTC_FD-V6S.gif
OTC,NV8LS2,,8,1910,6,±0.08 mm,₹50 – 80 Lakh,Slightly higher payload and reach for broader paint/coating tasks.,OTC_NV8LS2.png
OTC,FD-19-V210,,210,2674,6,±0.15 mm,₹45–80 Lakh,Very heavy payload handling robot suitable for heavy stack/logistics operations (also large pallet loads).,OTC_FD-19-V210.jpeg
OTC,FD-V25L,,25,3136,6,±0.07 mm,₹25–40 Lakh,Long reach and mid payload; suitable for larger or higher palletizing cells,OTC_FD-V25L.png
OTC,FD-H5 / FD19-H5,,5,866,6,±0.05 mm,₹30 – 55 Lakh,Compact robot used for small parts coating / precise finishing; high speed & precision,OTC_FD-H5___FD19-H5.jpeg
OTC,FD-V6L,,6,2006,6,±0.08 mm,₹45 – 75 Lakh,Mid-reach robot suitable for medium parts paint / coating lines.,OTC_FD-V6L.jpeg
OTC,NV8LS2,,8,1910,6,±0.08 mm,₹50 – 80 Lakh,Slightly higher payload and reach for broader paint/coating tasks.,OTC_NV8LS2.png
OTC,FD-B6 / FD-B6L,,6,2000 – 2008,6,±0.05 – 0.08 mm,₹50 – 85 Lakh,Longer envelope and stable accuracy; suitable for multi-gun coating tasks.,OTC_FD-B6___FD-B6L.png
OTC,FD-V8 / V8L,,8,2139 – ~2236,6,±0.08 mm,₹70 Lakh – ₹1.1 Crore,Longer reach robot for larger parts / bulk coating lines (estimated from FD series portfolio).,OTC_FD-V8___V8L.png
OTC,FD-V25 / V25L,,25,2500 – ~3136,6,±0.07 – 0.1 mm,₹90 Lakh – ₹1.8 Crore,"Extended-reach, high payload — suitable for large body/exterior painting booths.",OTC_FD-V25___V25L.png
OTC,FD-V166 / FD-V166H,,166,2654,6,±0.1 mm,₹1.2 – ₹2.5 Crore,Heavy payload arm for large fixtures — can be repurposed for heavy tools or multi-gun arrays (industry series).,OTC_FD-V166___FD-V166H.jpeg
OTC,FD19-V210 / V210A,,210,2674,6,±0.15 mm,₹1.3 – ₹2.8 Crore,Very high payload for structural parts; possible use in very large coating or material handling paint cells.,OTC_FD19-V210___V210A.png
Durr,EcoRP 10 R1100,,10,1100,6,±0.10–0.20 mm,₹35 – 65 Lakh,Compact ready-to-spray painting robot for general industry & small parts; supports 1K/2K and high/low pressure paint processes; explosion-proof design possible.,Durr_EcoRP_10_R1100.jpeg
Durr,EcoRP E/L033i,,10–15 est.,1300–1500+ est.,6,±0.10–0.20 mm,₹90 Lakh – 1.5 Crore,Modular 6-axis robot for automotive exterior/interior paint with or without rail; can also be used for hood/door opening tasks,Durr_EcoRP_E_L033i.jpeg
Durr,EcoRP E/L133i,,10–15 est.,1300–2000+ est.,6,±0.10–0.20 mm,₹90 Lakh – 1.6 Crore,Similar to E/L033i but usually mounted on EcoRail X (rail) for line tracking painting; flexible mounting,Durr_EcoRP_E_L133i.jpeg
Durr,EcoRP E043i,,10–15 est.,1800–2500+ est.,6,±0.10–0.20 mm,₹1.2 Lakh – 2.5 Crore,"Advanced 7-axis robot (no rail needed in many cases), larger work envelope, better access to interior body areas (reduces booth size & rail costs).",Durr_EcoRP_E043i.jpeg
Durr,EcoRP S053i,,15–25+ est.,5000,6,±0.15–0.25 mm,₹2.0 Lakh – 3.5 Crore,Swing-arm robot for commercial vehicle exterior & interior painting; long reach for large body loading areas.,Durr_EcoRP_S053i.jpeg
Durr,EcoRP S153i,,15–25+ est.,5000+,6,±0.15–0.25 mm,₹2.0 Lakh  – 3.5 Crore,Heavy-duty swing arm robot for large commercial vehicles & industrial parts coatings.,Durr_EcoRP_S153i.jpeg
